quarter_seconds_remaining,half_seconds_remaining,no_huddle,posteam_score,defteam_score,ep,wp,series,defenders_in_box,rushing_yards,Temperature,timeout_home_team,timeout_away_team,age_y_C_avg,age_y_C_std,age_y_DB_avg,age_y_DB_std,age_y_DE_avg,age_y_DE_std,age_y_DT_avg,age_y_DT_std,age_y_LB_avg,age_y_LB_std,age_y_OG_avg,age_y_OG_std,age_y_OT_avg,age_y_OT_std,age_y_RB_avg,age_y_RB_std,age_y_TE_avg,age_y_TE_std,age_y_WR_avg,age_y_WR_std,grades_run_block_C_avg,grades_run_block_C_std,grades_run_block_OG_avg,grades_run_block_OG_std,grades_run_block_OT_avg,grades_run_block_OT_std,grades_run_block_RB_avg,grades_run_block_RB_std,grades_run_block_TE_avg,grades_run_block_TE_std,grades_run_block_WR_avg,grades_run_block_WR_std,snap_counts_run_block_C_avg,snap_counts_run_block_C_std,snap_counts_run_block_OG_avg,snap_counts_run_block_OG_std,snap_counts_run_block_OT_avg,snap_counts_run_block_OT_std,snap_counts_run_block_RB_avg,snap_counts_run_block_RB_std,snap_counts_run_block_TE_avg,snap_counts_run_block_TE_std,snap_counts_run_block_WR_avg,snap_counts_run_block_WR_std,grades_run_defense_DB_avg,grades_run_defense_DB_std,grades_run_defense_DE_avg,grades_run_defense_DE_std,grades_run_defense_DT_avg,grades_run_defense_DT_std,grades_run_defense_LB_avg,grades_run_defense_LB_std,snap_counts_run_DB_avg,snap_counts_run_DB_std,snap_counts_run_DE_avg,snap_counts_run_DE_std,snap_counts_run_DT_avg,snap_counts_run_DT_std,snap_counts_run_LB_avg,snap_counts_run_LB_std,weight_height_ratio_C_avg,weight_height_ratio_C_std,weight_height_ratio_OG_avg,weight_height_ratio_OG_std,weight_height_ratio_OT_avg,weight_height_ratio_OT_std,weight_height_ratio_RB_avg,weight_height_ratio_RB_std,weight_height_ratio_TE_avg,weight_height_ratio_TE_std,weight_height_ratio_WR_avg,weight_height_ratio_WR_std,weight_height_ratio_DB_avg,weight_height_ratio_DB_std,weight_height_ratio_DE_avg,weight_height_ratio_DE_std,weight_height_ratio_DT_avg,weight_height_ratio_DT_std,weight_height_ratio_LB_avg,weight_height_ratio_LB_std,C_flag,DB_flag,DE_flag,DT_flag,LB_flag,OG_flag,OT_flag,RB_flag,TE_flag,WR_flag,offteam_penalty,defteam_penalty,SingleC_flag,SingleDB_flag,SingleDE_flag,SingleDT_flag,SingleLB_flag,SingleOG_flag,SingleOT_flag,SingleRB_flag,SingleTE_flag,SingleWR_flag,is_home,ydstogo_bucket_1-3,ydstogo_bucket_4-6,ydstogo_bucket_7-9,ydstogo_bucket_10,ydstogo_bucket_11+,wind_bucket_0,wind_bucket_1-5,wind_bucket_6-10,wind_bucket_11-15,wind_bucket_16+,season_2019,season_2020,season_2021,season_2022,season_2023,game_half_Half1,game_half_Half2,game_half_Overtime,roof_closed,roof_dome,roof_open,roof_outdoors,offense_formation_I_FORM,offense_formation_JUMBO,offense_formation_PISTOL,offense_formation_SHOTGUN,offense_formation_SINGLEBACK,offense_formation_WILDCAT,run_direction_leftend,run_direction_leftguard,run_direction_lefttackle,run_direction_middle,run_direction_rightend,run_direction_rightguard,run_direction_righttackle,opposing_team_ARI,opposing_team_ATL,opposing_team_BAL,opposing_team_BUF,opposing_team_CAR,opposing_team_CHI,opposing_team_CIN,opposing_team_CLE,opposing_team_DEN,opposing_team_DET,opposing_team_GB,opposing_team_HOU,opposing_team_IND,opposing_team_JAX,opposing_team_KC,opposing_team_LAC,opposing_team_LV,opposing_team_MIA,opposing_team_MIN,opposing_team_NO,opposing_team_NYG,opposing_team_NYJ,opposing_team_PHI,opposing_team_PIT,opposing_team_SEA,opposing_team_TB,opposing_team_WAS,down_1.0,down_2.0,down_3.0,down_4.0,week_sin,week_cos
0.6440489,0.82122904,0.0,-1.4318253741948308,-0.3069733914318494,-0.5139338531906501,-0.8640767093444853,-1.230430597009214,-0.13756930308750281,0.0,0.5911077150057107,0,0,-0.09045213597816872,-0.625725197199623,-0.8205985649196704,0.6953022652482644,-0.24343481597144007,0.9988539390760829,-0.13247086181564358,0.4295415735644519,0.5966395863152453,-0.3803785764035655,1.2548717006710315,0.44933124472828045,0.522671598059465,0.9989369661134662,-5.199337582605575,0.0,-0.6034625312205679,0.9972443299119716,-0.28149934436462676,-1.376353672642729,70.9,0.0,66.05,1.9500000000000028,70.5,10.0,0.0,0.0,54.849999999999994,2.4499999999999993,61.099999999999994,4.199999999999999,401.0,0.0,270.0,120.0,274.5,117.5,0.0,0.0,321.5,47.5,229.5,46.5,-0.45711759508867644,1.6199035332608103,0.5617554222495147,-0.07031374338320635,0.7962715339594465,0.3932660802731225,-0.3468744330776732,0.02356839871756012,-0.5949464237463573,-0.8421245781398967,0.24117308536067625,-0.2864278004616108,1.495163368963949,-0.5715337753055141,-0.5334309356871945,1.3229216246947986,0.6271963576001219,-0.6012824781723995,-0.01380069383179172,0.3333333333333333,0.5217391304347849,0.22222222222222113,-5.199337582605575,0.0,-0.874650279449119,-0.1876152193612246,-0.3037598556735687,-0.2549542899220132,-0.4721618644862619,1.2265406541264456,0.1954751087124756,-0.7351953389581924,-0.27540621260336007,-0.47667374500420023,1.09968319615046,0.7192373902722817,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3612416661871529,0.9324722294043558
0.54282534,0.77039105,0.0,-1.4318253741948308,-0.3069733914318494,1.2639513538781917,-0.5968273476119835,-1.144980530009303,-0.13756930308750281,-1.0,0.5911077150057107,0,0,-0.09045213597816872,-0.625725197199623,-0.8205985649196704,0.6953022652482644,-0.24343481597144007,0.9988539390760829,-0.13247086181564358,0.4295415735644519,0.5966395863152453,-0.3803785764035655,1.2548717006710315,0.44933124472828045,0.522671598059465,0.9989369661134662,-5.199337582605575,0.0,1.6258292575605116,2.112504857022245,-0.6206387565776947,0.010671136179416067,70.9,0.0,66.05,1.9500000000000028,70.5,10.0,0.0,0.0,59.650000000000006,1.9499999999999993,66.94999999999999,1.6499999999999986,401.0,0.0,270.0,120.0,274.5,117.5,0.0,0.0,44.0,9.0,267.5,8.5,-0.45711759508867644,1.6199035332608103,0.5617554222495147,-0.07031374338320635,0.7962715339594465,0.3932660802731225,-0.3468744330776732,0.02356839871756012,-0.5949464237463573,-0.8421245781398967,0.24117308536067625,-0.2864278004616108,1.495163368963949,-0.5715337753055141,-0.5334309356871945,1.3229216246947986,0.6271963576001219,-0.6012824781723995,-0.01380069383179172,0.3333333333333333,0.5217391304347849,0.22222222222222113,-5.199337582605575,0.0,-0.33836514436923015,-0.1876152193612246,0.3571476605964341,0.7136423529851391,-0.4721618644862619,1.2265406541264456,0.1954751087124756,-0.7351953389581924,-0.27540621260336007,-0.47667374500420023,1.09968319615046,0.7192373902722817,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3612416661871529,0.9324722294043558
0.23136818,0.61396646,0.0,-0.6753739076257034,-0.3069733914318494,-0.21445098182501987,-0.4948800808584456,-0.9055849627138125,-0.13756930308750281,2.0,0.5911077150057107,0,0,-0.09045213597816872,-0.625725197199623,-0.9319834452103345,0.6652224595105174,-0.24343481597144007,0.9988539390760829,-0.13247086181564358,0.4295415735644519,0.5966395863152453,-0.3803785764035655,1.2548717006710315,0.44933124472828045,0.522671598059465,0.9989369661134662,-5.199337582605575,0.0,-1.5402759218245157,-1.0661215647531126,-0.14471266599683133,-0.4855044366722662,70.9,0.0,66.05,1.9500000000000028,70.5,10.0,0.0,0.0,52.4,0.0,56.699999999999996,7.104927867332644,401.0,0.0,270.0,120.0,274.5,117.5,0.0,0.0,369.0,0.0,182.33333333333334,76.75212628252646,0.3586358801861176,0.7457205373254814,0.5617554222495147,-0.07031374338320635,0.7962715339594465,0.3932660802731225,-0.3468744330776732,0.02356839871756012,-0.7856637240267706,-0.48924137725500894,0.24117308536067625,-0.2864278004616108,1.495163368963949,-0.5715337753055141,-0.5334309356871945,1.3229216246947986,0.6271963576001219,-0.6012824781723995,-0.01380069383179172,0.3333333333333333,0.5217391304347849,0.22222222222222113,-5.199337582605575,0.0,-0.6765868349982512,-0.9818153210415237,-0.2624531359066932,-0.4290212742158712,-0.3146727615066168,1.2571151911715994,0.1954751087124756,-0.7351953389581924,-0.27540621260336007,-0.47667374500420023,1.09968319615046,0.7192373902722817,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3612416661871529,0.9324722294043558
0.7819799,0.38770947,0.0,-0.6753739076257034,-0.3069733914318494,0.6613471489334468,-0.2168954999051845,-0.4146841681444621,-0.13756930308750281,2.0,0.5911077150057107,0,0,-0.09045213597816872,-0.625725197199623,-0.8205985649196704,0.6953022652482644,0.5776426539452121,-0.17699437788096128,-0.38943399773565085,-0.6849612039280262,0.5966395863152453,-0.3803785764035655,1.2548717006710315,0.44933124472828045,0.522671598059465,0.9989369661134662,-5.199337582605575,0.0,-0.6034625312205679,0.9972443299119716,-0.28149934436462676,-1.376353672642729,70.9,0.0,66.05,1.9500000000000028,70.5,10.0,0.0,0.0,54.849999999999994,2.4499999999999993,61.099999999999994,4.199999999999999,401.0,0.0,270.0,120.0,274.5,117.5,0.0,0.0,321.5,47.5,229.5,46.5,-0.45711759508867644,1.6199035332608103,0.35258238769725886,0.5092759672478469,-0.6366899025010564,-0.2756890628978394,-0.3468744330776732,0.02356839871756012,-0.5949464237463573,-0.8421245781398967,-0.7646145210097189,1.1937218810055912,-1.9347690818970888,-0.47273007298847136,-0.5334309356871945,1.3229216246947986,0.6271963576001219,-0.6012824781723995,-0.01380069383179172,0.3333333333333333,0.5217391304347849,0.22222222222222113,-5.199337582605575,0.0,-0.874650279449119,-0.1876152193612246,-0.3037598556735687,-0.2549542899220132,-0.4721618644862619,1.2265406541264456,0.23058614171677655,-0.19770267978645442,-0.3213044377545611,-1.2828424558789018,1.09968319615046,0.7192373902722817,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3612416661871529,0.9324722294043558
0.73414904,0.36368713,0.0,-0.6753739076257034,-0.3069733914318494,1.2978510001187658,-0.1501044089406185,-0.3501303751488863,-1.4765375537677878,6.0,0.5911077150057107,0,0,-0.09045213597816872,-0.625725197199623,-0.9319834452103345,0.6652224595105174,-1.4771343865298405,-0.9463864196157769,-0.13247086181564358,0.4295415735644519,0.033426200697567084,-1.0675931216308254,1.2548717006710315,0.44933124472828045,0.522671598059465,0.9989369661134662,-5.199337582605575,0.0,-0.6034625312205679,0.9972443299119716,-0.28149934436462676,-1.376353672642729,70.9,0.0,66.05,1.9500000000000028,70.5,10.0,0.0,0.0,54.849999999999994,2.4499999999999993,61.099999999999994,4.199999999999999,401.0,0.0,270.0,120.0,274.5,117.5,0.0,0.0,321.5,47.5,229.5,46.5,0.3586358801861176,0.7457205373254814,-0.39989723010760886,1.3207768377365547,0.7962715339594465,0.3932660802731225,-0.8670100141621948,-0.8635727687773603,-0.7856637240267706,-0.48924137725500894,-0.11237649748467478,0.26435506416591326,1.495163368963949,-0.5715337753055141,-0.45469503207568046,1.8091612758773772,0.6271963576001219,-0.6012824781723995,-0.01380069383179172,0.3333333333333333,0.5217391304347849,0.22222222222222113,-5.199337582605575,0.0,-0.874650279449119,-0.1876152193612246,-0.3037598556735687,-0.2549542899220132,-0.3146727615066168,1.2571151911715994,0.23643798055082663,-0.8360801101377691,-0.27540621260336007,-0.47667374500420023,0.09975879005709899,-0.09514536089127981,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3612416661871529,0.9324722294043558
0.6863181,0.3396648,0.0,-0.6753739076257034,-0.3069733914318494,1.6582516709260975,-0.05652973714540889,-0.2866874982026967,-0.13756930308750281,5.0,0.5911077150057107,0,0,-0.09045213597816872,-0.625725197199623,-0.9319834452103345,0.6652224595105174,-0.24343481597144007,0.9988539390760829,-0.13247086181564358,0.4295415735644519,0.5966395863152453,-0.3803785764035655,1.2548717006710315,0.44933124472828045,0.522671598059465,0.9989369661134662,-5.199337582605575,0.0,-1.5402759218245157,-1.0661215647531126,-0.14471266599683133,-0.4855044366722662,70.9,0.0,66.05,1.9500000000000028,70.5,10.0,0.0,0.0,52.4,0.0,56.699999999999996,7.104927867332644,401.0,0.0,270.0,120.0,274.5,117.5,0.0,0.0,369.0,0.0,182.33333333333334,76.75212628252646,0.3586358801861176,0.7457205373254814,0.5617554222495147,-0.07031374338320635,0.7962715339594465,0.3932660802731225,-0.3468744330776732,0.02356839871756012,-0.7856637240267706,-0.48924137725500894,0.24117308536067625,-0.2864278004616108,1.495163368963949,-0.5715337753055141,-0.5334309356871945,1.3229216246947986,0.6271963576001219,-0.6012824781723995,-0.01380069383179172,0.3333333333333333,0.5217391304347849,0.22222222222222113,-5.199337582605575,0.0,-0.6765868349982512,-0.9818153210415237,-0.2624531359066932,-0.4290212742158712,-0.3146727615066168,1.2571151911715994,0.1954751087124756,-0.7351953389581924,-0.27540621260336007,-0.47667374500420023,1.09968319615046,0.7192373902722817,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3612416661871529,0.9324722294043558
0.6462736,0.31955305,0.0,-0.6753739076257034,-0.3069733914318494,1.9110300907427065,-0.013419442447694795,-0.2866874982026967,3.537143533679157,1.0,0.5911077150057107,0,0,-0.09045213597816872,-0.625725197199623,1.711109472657866,-0.24695880618840954,-0.24343481597144007,0.9988539390760829,-0.28780514846938954,-0.005289146088807048,1.0341895880016065,-0.386434353196317,1.2548717006710315,0.44933124472828045,0.522671598059465,0.9989369661134662,-5.199337582605575,0.0,1.1029055707502147,1.9906230711656738,-6.927770175373092,-1.4178725349948693,70.9,0.0,66.05,1.9500000000000028,70.5,10.0,0.0,0.0,55.79999999999999,2.4097026095903766,0.0,0.0,401.0,0.0,270.0,120.0,274.5,117.5,0.0,0.0,226.0,140.5157167959039,0.0,0.0,-0.575119670128427,3.713010759658981,0.5617554222495147,-0.07031374338320635,0.07979081572919505,0.9452407103611676,-0.19151777833329192,-0.20073725652454566,-1.6934780733615378,-1.4553116250166758,0.24117308536067625,-0.2864278004616108,-0.21980285646656988,1.6591005105356833,-1.5599620660535407,1.3717368637413243,0.6271963576001219,-0.6012824781723995,-0.01380069383179172,0.3333333333333333,0.5217391304347849,0.22222222222222113,-5.199337582605575,0.0,-0.6320802767568869,0.34514579442952265,-7.752738320300052,-1.4589032927628949,0.567266215179394,-1.015747021850696,0.1954751087124756,-0.7351953389581924,-0.3029451476940823,-0.7988571908994289,0.2997436712757643,0.6827635591686276,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3612416661871529,0.9324722294043558
0.5628476,0.27765363,0.0,0.1934437305302193,-0.3069733914318494,-1.623588600515177,0.2345152066904235,-0.1628679679474778,-0.13756930308750281,18.0,0.5911077150057107,0,0,-0.09045213597816872,-0.625725197199623,-0.07077826034160627,0.25567568150939646,-0.24343481597144007,0.9988539390760829,-0.13247086181564358,0.4295415735644519,0.5966395863152453,-0.3803785764035655,1.2548717006710315,0.44933124472828045,0.522671598059465,0.9989369661134662,-5.199337582605575,0.0,-0.6034625312205679,0.9972443299119716,-0.28149934436462676,-1.376353672642729,70.9,0.0,66.05,1.9500000000000028,70.5,10.0,0.0,0.0,54.849999999999994,2.4499999999999993,61.099999999999994,4.199999999999999,401.0,0.0,270.0,120.0,274.5,117.5,0.0,0.0,321.5,47.5,229.5,46.5,-0.4383056700823398,1.6443347159010855,0.5617554222495147,-0.07031374338320635,0.7962715339594465,0.3932660802731225,-0.3468744330776732,0.02356839871756012,-0.9051798988691631,-0.47331006522213986,0.24117308536067625,-0.2864278004616108,1.495163368963949,-0.5715337753055141,-0.5334309356871945,1.3229216246947986,0.6271963576001219,-0.6012824781723995,-0.01380069383179172,0.3333333333333333,0.5217391304347849,0.22222222222222113,-5.199337582605575,0.0,-0.874650279449119,-0.1876152193612246,-0.3037598556735687,-0.2549542899220132,0.12629672683638438,0.010574734668748472,0.1954751087124756,-0.7351953389581924,-0.27540621260336007,-0.47667374500420023,1.09968319615046,0.7192373902722817,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3612416661871529,0.9324722294043558
0.4404894,0.21620111,0.0,0.1934437305302193,-0.3069733914318494,-0.08592840278509793,0.4377912052708062,-0.04275666444428337,0.9886044349724414,8.0,0.5911077150057107,0,0,-0.09045213597816872,-0.625725197199623,-0.07077826034160627,0.25567568150939646,0.5776426539452121,-0.17699437788096128,-0.13247086181564358,0.4295415735644519,0.5966395863152453,-0.3803785764035655,1.2548717006710315,0.44933124472828045,0.522671598059465,0.9989369661134662,-5.199337582605575,0.0,-0.6034625312205679,0.9972443299119716,-0.28149934436462676,-1.376353672642729,70.9,0.0,66.05,1.9500000000000028,70.5,10.0,0.0,0.0,54.849999999999994,2.4499999999999993,61.099999999999994,4.199999999999999,401.0,0.0,270.0,120.0,274.5,117.5,0.0,0.0,321.5,47.5,229.5,46.5,-0.4383056700823398,1.6443347159010855,0.35258238769725886,0.5092759672478469,0.7962715339594465,0.3932660802731225,-0.3468744330776732,0.02356839871756012,-0.9051798988691631,-0.47331006522213986,-0.7646145210097189,1.1937218810055912,1.495163368963949,-0.5715337753055141,-0.5334309356871945,1.3229216246947986,0.6271963576001219,-0.6012824781723995,-0.01380069383179172,0.3333333333333333,0.5217391304347849,0.22222222222222113,-5.199337582605575,0.0,-0.874650279449119,-0.1876152193612246,-0.3037598556735687,-0.2549542899220132,0.12629672683638438,0.010574734668748472,0.23058614171677655,-0.19770267978645442,-0.27540621260336007,-0.47667374500420023,1.09968319615046,0.7192373902722817,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3612416661871529,0.9324722294043558
0.23248053,0.111731835,0.0,0.1934437305302193,-0.3069733914318494,-0.9820500294431631,0.3396996395508264,0.07403097401934376,-0.13756930308750281,-1.0,0.5911077150057107,0,0,-0.09045213597816872,-0.625725197199623,-0.18216314063227038,0.2676495527614113,-0.24343481597144007,0.9988539390760829,-0.13247086181564358,0.4295415735644519,0.5966395863152453,-0.3803785764035655,1.2548717006710315,0.44933124472828045,0.522671598059465,0.9989369661134662,-5.199337582605575,0.0,0.333350859383382,-1.0661215647531126,-0.14471266599683133,-0.4855044366722662,70.9,0.0,66.05,1.9500000000000028,70.5,10.0,0.0,0.0,57.3,0.0,56.699999999999996,7.104927867332644,401.0,0.0,270.0,120.0,274.5,117.5,0.0,0.0,274.0,0.0,182.33333333333334,76.75212628252646,0.3774478051924549,0.7495340377644064,0.5617554222495147,-0.07031374338320635,0.7962715339594465,0.3932660802731225,-0.3468744330776732,0.02356839871756012,-1.0958971991495763,-0.260772548699902,0.24117308536067625,-0.2864278004616108,1.495163368963949,-0.5715337753055141,-0.5334309356871945,1.3229216246947986,0.6271963576001219,-0.6012824781723995,-0.01380069383179172,0.3333333333333333,0.5217391304347849,0.22222222222222113,-5.199337582605575,0.0,-1.069126845406623,-0.9818153210415237,-0.2624531359066932,-0.4290212742158712,0.2837858298160462,-0.01352886815748449,0.1954751087124756,-0.7351953389581924,-0.27540621260336007,-0.47667374500420023,1.09968319615046,0.7192373902722817,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3612416661871529,0.9324722294043558
